contract_id,player_id,age,service_time,contract_year,duration,value,contract_type,position,stats_year,stats_window,bat_games,bat_plate_appearances,bat_at_bats,bat_hits,bat_doubles,bat_triples,bat_home_runs,bat_runs,bat_rbis,bat_stolen_bases,bat_caught_stealing,bat_walks,bat_strikeouts,bat_batting_avg,bat_on_base_pct,bat_slugging_pct,bat_ops,bat_wrc_plus,bat_war,bat_babip,bat_iso,bat_bb_pct,bat_k_pct,bat_hard_hit_pct,bat_barrel_pct,pit_games,pit_games_started,pit_innings_pitched,pit_wins,pit_losses,pit_saves,pit_holds,pit_strikeouts,pit_walks,pit_hits_allowed,pit_home_runs_allowed,pit_era,pit_whip,pit_k_per_9,pit_bb_per_9,pit_fip,pit_xfip,pit_siera,pit_war,pit_k_pct,pit_bb_pct,pit_k_bb_ratio,pit_ground_ball_pct,pit_fly_ball_pct,pit_hard_hit_pct
Scherzer_5166_2011,Scherzer_5166,26,2.079,2011,1,0.6,pre-arb,SP,2010,1,31,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,,,31,31,195.2,12,11,0,0,184,70,174,20,3.5,1.25,8.46,3.22,3.71,3.68,3.66,4.0,0.23,0.08800000000000001,2.63,0.40299999999999997,0.4,
Posey_7511_2011,Posey_7511,24,0.161,2011,1,0.575,pre-arb,C,2010,1,108,443,406,124,23,2,18,58,67,0,2,30,55,0.305,0.357,0.505,0.862,134.0,3.9,0.315,0.2,0.068,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchholz_82_2011,Buchholz_82,26,2.059,2011,1,0.555,pre-arb,SP,2010,1,28,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,483.0,0.1,1.0,0.0,0.0,0.0,,,28,28,173.2,17,7,0,0,120,67,142,9,2.33,1.2,6.22,3.47,3.61,4.06,4.27,3.0,0.16899999999999998,0.094,1.79,0.508,0.315,
Gardner_5311_2011,Gardner_5311,27,2.072,2011,1,0.5295,pre-arb,LF,2010,1,150,569,477,132,20,7,5,97,47,47,9,79,101,0.277,0.383,0.379,0.762,112.0,6.1,0.34,0.103,0.139,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanco_7554_2011,Blanco_7554,27,2.087,2011,1,0.52,pre-arb,SS,2010,1,68,185,166,46,10,1,0,17,13,0,2,11,24,0.277,0.33,0.349,0.679,78.0,0.0,0.319,0.072,0.059000000000000004,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard_5185_2011,Bard_5185,26,1.148,2011,1,0.505,pre-arb,RP,2010,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,73,0,74.2,1,2,3,32,76,30,45,6,1.93,1.0,9.16,3.62,3.37,3.46,3.12,1.3,0.258,0.102,2.53,0.467,0.379,
Kershaw_5273_2011,Kershaw_5273,23,2.105,2011,1,0.5,pre-arb,SP,2010,1,32,74,55,3,0,0,0,4,1,0,0,1,17,0.055,0.071,0.055,0.126,-73.0,-0.6,0.079,0.0,0.013999999999999999,0.23,,,32,32,204.1,13,10,0,0,212,81,160,13,2.91,1.18,9.34,3.57,3.12,3.64,3.54,4.6,0.25,0.096,2.62,0.401,0.42100000000000004,
Sandoval_5355_2011,Sandoval_5355,24,2.047,2011,1,0.5,pre-arb,3B,2010,1,152,616,563,151,34,3,13,61,63,3,2,47,81,0.268,0.323,0.409,0.732,96.0,1.1,0.291,0.14,0.076,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heyward_7231_2011,Heyward_7231,21,1.0,2011,1,0.4965,pre-arb,RF,2010,1,142,623,520,144,29,5,18,83,72,11,6,91,128,0.277,0.393,0.456,0.849,134.0,4.7,0.335,0.179,0.146,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckham_7272_2011,Beckham_7272,24,1.123,2011,1,0.485,pre-arb,2B,2010,1,131,498,444,112,25,2,9,58,49,4,6,37,92,0.252,0.317,0.378,0.695,86.0,0.8,0.297,0.126,0.07400000000000001,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,
