player_id,year,window_years,games,games_started,innings_pitched,wins,losses,saves,holds,strikeouts,walks,hits_allowed,home_runs_allowed,era,whip,k_per_9,bb_per_9,fip,xfip,siera,war,k_pct,bb_pct,k_bb_ratio,ground_ball_pct,fly_ball_pct,hard_hit_pct
Scherzer_5166,2008,1,16,7,56.0,0,4,0,0,66,21,48,5,3.05,1.23,10.61,3.38,3.33,3.18,3.09,1.1,0.278,0.08900000000000001,3.14,0.413,0.312,
Scherzer_5166,2009,1,30,30,170.1,9,11,0,0,174,63,166,20,4.12,1.34,9.19,3.33,3.87,3.82,3.69,2.7,0.235,0.085,2.76,0.418,0.39899999999999997,
Scherzer_5166,2010,1,31,31,195.2,12,11,0,0,184,70,174,20,3.5,1.25,8.46,3.22,3.71,3.68,3.66,4.0,0.23,0.08800000000000001,2.63,0.40299999999999997,0.4,
Scherzer_5166,2011,1,33,33,195.0,15,9,0,0,174,56,207,29,4.43,1.35,8.03,2.58,4.14,3.7,3.62,2.3,0.209,0.067,3.11,0.40299999999999997,0.395,
Scherzer_5166,2012,1,32,32,187.2,16,7,0,0,231,60,179,23,3.74,1.27,11.08,2.88,3.26,3.23,3.07,4.5,0.294,0.076,3.85,0.365,0.415,
Scherzer_5166,2013,1,32,32,214.1,21,3,0,0,240,56,152,18,2.9,0.97,10.08,2.35,2.74,3.16,2.91,5.9,0.287,0.067,4.29,0.363,0.446,
Scherzer_5166,2014,1,33,33,220.1,18,5,0,0,252,63,196,18,3.15,1.18,10.29,2.57,2.85,3.12,2.98,5.6,0.27899999999999997,0.07,4.0,0.36700000000000005,0.41600000000000004,
Scherzer_5166,2015,1,33,33,228.2,14,12,0,0,276,34,176,27,2.79,0.92,10.86,1.34,2.77,2.88,2.63,6.5,0.307,0.038,8.12,0.358,0.45399999999999996,0.298
Scherzer_5166,2016,1,34,34,228.1,20,7,0,0,284,56,165,31,2.96,0.97,11.19,2.21,3.24,3.37,3.05,5.6,0.315,0.062,5.07,0.33,0.479,0.295
Scherzer_5166,2017,1,31,31,200.2,16,6,0,0,268,55,126,22,2.51,0.9,12.02,2.47,2.9,3.28,2.98,6.4,0.344,0.071,4.87,0.365,0.466,0.294
Scherzer_5166,2018,1,33,33,220.2,18,7,0,0,300,51,150,23,2.53,0.91,12.24,2.08,2.65,3.06,2.71,7.5,0.34600000000000003,0.059000000000000004,5.88,0.34299999999999997,0.47600000000000003,0.316
Scherzer_5166,2019,1,27,27,172.1,11,7,0,0,243,33,144,18,2.92,1.03,12.69,1.72,2.45,2.88,2.93,6.5,0.35100000000000003,0.048,7.36,0.408,0.381,0.354
Scherzer_5166,2020,1,12,12,67.1,5,4,0,0,92,23,70,10,3.74,1.38,12.3,3.07,3.46,3.53,3.56,1.8,0.312,0.078,4.0,0.33,0.39799999999999996,0.363
Scherzer_5166,2021,1,30,30,179.1,15,4,0,0,236,36,119,23,2.46,0.86,11.84,1.81,2.97,3.24,2.9,5.4,0.341,0.052000000000000005,6.56,0.335,0.483,0.34299999999999997
Scherzer_5166,2022,1,23,23,145.1,11,5,0,0,173,24,108,13,2.29,0.91,10.71,1.49,2.62,3.23,2.88,4.5,0.306,0.042,7.21,0.311,0.496,0.33899999999999997
Scherzer_5166,2023,1,27,27,152.2,13,6,0,0,174,45,126,28,3.77,1.12,10.26,2.65,4.32,4.02,3.77,2.2,0.28,0.07200000000000001,3.87,0.332,0.486,0.369
Scherzer_5166,2024,1,9,9,43.1,2,4,0,0,40,10,40,7,3.95,1.15,8.31,2.08,4.18,4.04,4.01,0.6,0.226,0.055999999999999994,4.0,0.32,0.45899999999999996,0.349
Scherzer_5166,2025,1,17,17,85.0,5,5,0,0,82,23,87,19,5.19,1.29,8.68,2.44,4.99,4.55,4.26,0.4,0.22899999999999998,0.064,3.57,0.271,0.542,0.382
Scherzer_5166,2010,3,77,68,422.0,21,26,0,0,424,154,388,45,3.69,1.28,9.04,3.28,3.72,3.67,3.6,7.8,0.23800000000000002,0.087,2.75,0.41100000000000003,0.389,
Scherzer_5166,2011,3,94,94,561.0,36,31,0,0,532,189,547,69,4.01,1.31,8.53,3.03,3.91,3.73,3.65,9.0,0.22399999999999998,0.08,2.81,0.408,0.39799999999999996,
Scherzer_5166,2012,3,96,96,578.1,43,27,0,0,589,186,560,72,3.89,1.29,9.17,2.89,3.71,3.54,3.44,10.9,0.243,0.077,3.17,0.392,0.402,
Scherzer_5166,2012,5,142,133,804.2,52,42,0,0,829,270,774,97,3.88,1.3,9.27,3.02,3.72,3.57,3.47,14.6,0.244,0.079,3.07,0.39899999999999997,0.396,
Scherzer_5166,2013,3,97,97,597.0,52,19,0,0,645,172,538,70,3.66,1.19,9.72,2.59,3.36,3.36,3.19,12.7,0.263,0.07,3.75,0.37799999999999995,0.418,
Scherzer_5166,2013,5,158,158,963.0,73,41,0,0,1003,305,878,110,3.71,1.23,9.37,2.85,3.52,3.5,3.37,19.5,0.251,0.076,3.29,0.391,0.41100000000000003,
Scherzer_5166,2014,3,97,97,622.1,55,15,0,0,723,179,527,59,3.24,1.13,10.46,2.59,2.94,3.17,2.98,16.0,0.28600000000000003,0.071,4.04,0.365,0.426,
Scherzer_5166,2014,5,161,161,1013.0,82,35,0,0,1081,305,908,108,3.52,1.2,9.6,2.71,3.32,3.37,3.23,22.4,0.26,0.073,3.54,0.381,0.414,
Scherzer_5166,2015,3,98,98,663.1,53,20,0,0,768,153,524,63,2.94,1.02,10.42,2.08,2.78,3.05,2.83,18.0,0.29100000000000004,0.057999999999999996,5.02,0.363,0.43799999999999994,0.298
Scherzer_5166,2015,5,163,163,1046.0,84,36,0,0,1173,269,910,115,3.36,1.13,10.09,2.31,3.12,3.2,3.02,24.8,0.275,0.063,4.36,0.37200000000000005,0.425,0.298
Scherzer_5166,2016,3,100,100,677.1,52,24,0,0,812,153,537,76,2.96,1.02,10.79,2.03,2.95,3.13,2.87,17.7,0.3,0.057,5.31,0.35200000000000004,0.449,0.29600000000000004
Scherzer_5166,2016,5,164,164,1079.1,89,34,0,0,1283,269,868,117,3.09,1.05,10.7,2.24,2.96,3.15,2.91,28.2,0.29600000000000004,0.062,4.77,0.35600000000000004,0.442,0.29600000000000004
Scherzer_5166,2017,3,98,98,657.2,50,25,0,0,828,145,467,80,2.76,0.93,11.33,1.98,2.97,3.17,2.87,18.6,0.321,0.055999999999999994,5.71,0.35,0.466,0.29600000000000004
Scherzer_5166,2017,5,163,163,1092.1,89,33,0,0,1320,264,815,116,2.87,0.99,10.88,2.18,2.9,3.16,2.9,30.1,0.305,0.061,5.0,0.35600000000000004,0.451,0.29600000000000004
Scherzer_5166,2017,10,305,296,1897.0,141,75,0,0,2149,534,1589,213,3.3,1.12,10.2,2.53,3.25,3.34,3.14,44.7,0.278,0.069,4.02,0.376,0.426,0.29600000000000004
Scherzer_5166,2018,3,98,98,649.2,54,20,0,0,852,162,441,76,2.67,0.93,11.8,2.24,2.93,3.24,2.91,19.5,0.33399999999999996,0.064,5.26,0.345,0.474,0.302
Scherzer_5166,2018,5,164,164,1098.2,86,37,0,0,1380,259,813,121,2.79,0.98,11.3,2.12,2.88,3.14,2.86,31.6,0.317,0.06,5.33,0.35200000000000004,0.457,0.301
Scherzer_5166,2018,10,322,322,2061.2,159,78,0,0,2383,564,1691,231,3.22,1.09,10.4,2.46,3.18,3.31,3.09,51.1,0.285,0.068,4.23,0.37200000000000005,0.434,0.301
Scherzer_5166,2019,3,91,91,593.2,45,20,0,0,811,139,420,63,2.64,0.94,12.29,2.11,2.68,3.08,2.86,20.4,0.34700000000000003,0.059000000000000004,5.83,0.37,0.444,0.32
Scherzer_5166,2019,5,158,158,1050.2,79,39,0,0,1371,229,761,121,2.74,0.94,11.74,1.96,2.82,3.1,2.84,32.5,0.331,0.055,5.99,0.358,0.45399999999999996,0.309
Scherzer_5166,2019,10,319,319,2063.2,161,74,0,0,2452,534,1669,229,3.12,1.07,10.69,2.33,3.06,3.23,3.02,54.9,0.295,0.064,4.59,0.37,0.433,0.309
Scherzer_5166,2020,3,72,72,460.1,34,18,0,0,635,107,364,51,2.85,1.02,12.41,2.09,2.69,3.06,2.92,15.8,0.34299999999999997,0.057999999999999996,5.93,0.365,0.42700000000000005,0.33799999999999997
Scherzer_5166,2020,5,137,137,889.1,70,31,0,0,1187,218,655,104,2.8,0.98,12.01,2.21,2.88,3.19,2.96,27.8,0.336,0.062,5.44,0.35600000000000004,0.449,0.317
Scherzer_5166,2020,10,300,300,1935.1,154,67,0,0,2360,487,1565,219,3.11,1.06,10.97,2.26,3.01,3.2,2.98,52.7,0.303,0.062,4.85,0.365,0.435,0.313
Scherzer_5166,2021,3,69,69,419.0,31,15,0,0,571,92,333,51,2.86,1.01,12.26,1.98,2.84,3.14,3.01,13.7,0.34,0.055,6.21,0.364,0.426,0.35100000000000003
